	array	coin	date	order	orderIndex	profit
0	bitCoinOrders	btc	2017-11-08	sell	0	219.024
1	bitCoinOrders	eth	2017-12-12	sell	1	384.00000000000006
2	bitCoinOrders	dash	2017-11-21	sell	2	367.20000000000005
3	bitCoinOrders	dash	2017-12-20	sell	2	660.96
4	bitCoinOrders	ltc	2017-12-08	sell	3	310.334448
5	bitCoinOrders	ltc	2017-12-12	sell	3	558.6020064
6	bitCoinOrders	omg	2017-08-05	sell	4	90.75000000000001
7	bitCoinOrders	xrp	2017-12-12	sell	5	31.71
8	bitCoinOrders	xrp	2017-12-12	sell	6	38.515749299999996
9	bitCoinOrders	vtc	2017-10-22	sell	7	60.0
10	bitCoinOrders	gnt	2017-11-16	sell	8	64.99087200000001
11	bitCoinOrders	gnt	2017-11-16	sell	9	55.18236000000001
12	bitCoinOrders	1st	2017-12-13	sell	10	49.780170000000005
13	bitCoinOrders	bts	2017-12-15	sell	11	33.22854
14	bitCoinOrders	bat	2018-01-02	sell	12	62.97480000000001
15	bitCoinOrders	sc	2017-12-20	sell	13	60.58337031000001
16	bitCoinOrders	sc	2017-12-04	sell	14	61.559978400000006
17	additionalOrders	eth	2018-01-03	sell	0	88.015302
18	additionalOrders	dash	2017-12-14	sell	1	88.02302399999999
19	additionalOrders	ltc	2017-12-11	sell	2	87.6919416
20	additionalOrders	eth	2018-01-07	sell	7	147.35588640000003
21	additionalOrders	ltc	2017-12-11	sell	8	146.97228120000003
22	additionalOrders	eth	2018-01-10	sell	13	124.73007600000001
